欣赏频道,#genre#
天映频道AKtv,http://s1.an94tv.cfd/aktv2/CH-3/AKTV.m3u8
天映经典AKtv,http://s1.an94tv.cfd/aktv/1080/AKTV.m3u8
凤凰中文AKtv,http://s1.an94tv.cfd/aktv/CH-3/AKTV.m3u8
凤凰资讯AKtv,http://s1.an94tv.cfd/aktv/CH-4/AKTV.m3u8
凤凰香港AKtv,http://s1.an94tv.cfd/aktv/CH-5/AKTV.m3u8
中天新闻AKtv,http://s1.an94tv.cfd/zhongtian/CH-0/AKTV.m3u8
无线新闻AKtv,http://s1.an94tv.cfd/aktv/CH-1/AKTV.m3u8
无线翡翠AKtv,http://s1.an94tv.cfd/aktv/CH-0/AKTV.m3u8
无线明珠AKtv,http://s1.an94tv.cfd/aktv/CH-2/AKTV.m3u8
无线星河AKtv,http://s1.an94tv.cfd/taiwan2/tvb/AKTV.m3u8
无线翡剧AKtv,http://s1.an94tv.cfd/aktv/CH-18/AKTV.m3u8
无线明剧AKtv,http://s1.an94tv.cfd/aktv/CH-19/AKTV.m3u8
无线J1美AKtv,http://s1.an94tv.cfd/aktv/CH-17/AKTV.m3u8
黃金翡翠AKtv,http://s1.an94tv.cfd/aktv/CH-6/AKTV.m3u8
tvbs新闻AKtv,http://s1.an94tv.cfd/tvbs/tvbs/AKTV.m3u8
tvbs闽南AKtv,http://s1.an94tv.cfd/taiwan/tvbs/AKTV.m3u8
东森新闻AKtv,http://s1.an94tv.cfd/zhongtian/CH-1/AKTV.m3u8
东森洋片AKtv,http://s1.an94tv.cfd/aktv2/CH-2/AKTV.m3u8
好莱电影AKtv,http://s1.an94tv.cfd/aktv2/CH-1/AKTV.m3u8
民视闽南AKtv,http://s1.an94tv.cfd/taiwan/CH-1/AKTV.m3u8
民视第一AKtv,http://s1.an94tv.cfd/taiwan/CH-0/AKTV.m3u8
中天亚洲AKtv,http://s1.an94tv.cfd/astro/CH-1/AKTV.m3u8
龙华日韩AKtv,http://s1.an94tv.cfd/taiwan/CH-5/AKTV.m3u8
channeluAKtv,http://s1.an94tv.cfd/aktv/channeluhd/AKTV.m3u8
channel5AKtv,http://s1.an94tv.cfd/aktv/channel5hd/AKTV.m3u8
channel8AKtv,http://s1.an94tv.cfd/aktv/channel8hd/AKTV.m3u8
八度空间AKtv,http://s1.an94tv.cfd/astro/8tv/AKTV.m3u8
国家地理AKtv,http://s1.an94tv.cfd/aktv/lovenaturehd/AKTV.m3u8
靖天国际AKtv,http://s1.an94tv.cfd/taiwan/CH-3/AKTV.m3u8
CNA新闻AKtv,http://s1.an94tv.cfd/aktv3/cna/AKTV.m3u8
TVN韩综AKtv,http://s1.an94tv.cfd/aktv/tvn/AKTV.m3u8
朝鲜恩情AKtv,http://s1.an94tv.cfd/aktv3/CH-0/AKTV.m3u8
日-NEWSAKtv,http://s1.an94tv.cfd/aktvjp/ntv/AKTV.m3u8
japan_24AKtv,http://s1.an94tv.cfd/aktvjp/japannews24hlive/AKTV.m3u8
rock影综AKtv,http://s1.an94tv.cfd/aktv/rockaction/AKTV.m3u8
AXN电影AKtv,http://s1.an94tv.cfd/aktv/axn/AKTV.m3u8
纬来体育AKtv,http://s1.an94tv.cfd/aktv2/CH-0/AKTV.m3u8
ASTRo4kAKtv,http://s1.an94tv.cfd/astro/astrosportuhd/AKTV.m3u8
ASTRO体AKtv,http://s1.an94tv.cfd/astro/CH-0/AKTV.m3u8
Euro_体1AKtv,http://s1.an94tv.cfd/astro/eurosport1/AKTV.m3u8
Euro_体2AKtv,http://s1.an94tv.cfd/astro/eurosport2/AKTV.m3u8
TNT_体1AKtv,http://s1.an94tv.cfd/astro/tntsports1/AKTV.m3u8
TNT_体2AKtv,http://s1.an94tv.cfd/astro/tntsports2/AKTV.m3u8
TNT_体3AKtv,http://s1.an94tv.cfd/astro/tntsports3/AKTV.m3u8
Sky体-F1AKtv,http://s1.an94tv.cfd/aktv2/skysportsf1/AKTV.m3u8
animax漫AKtv,http://s1.an94tv.cfd/aktv/animaxhk/AKTV.m3u8
闽南4Gtv,#genre#
中天新闻4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv009
寰宇新闻4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=litv-longturn14
东森新闻4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv152
tvbs新闻4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv072
三立新闻4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live089
三立新闻4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=iNEWS
非凡新闻4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv010
闽镜新闻4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv075
民视新闻4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=litv-ftv13
中视新闻4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv074
华视新闻4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv052
台视新闻4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv051
民视闽南4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv002
民视闽南4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv155
中视闽南4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv040
华视闽南4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv041
台视闽南4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv066
寰宇闽南4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv156
tvbs闽南4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv073
民视台湾4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv001
民视第一4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv003
民视旅游4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=litv-ftv07
民视影剧4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=litv-ftv09
民视综艺4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv004
中视菁采4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv064
中视经典4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv080
台视财经4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv056
公视戏剧4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv042
闽南戏剧4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=litv-longturn22
国际财经4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv104
全球财经4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live060
东森财经4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv153
寰宇财经4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv158
cnbc财经4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live130
tvbs精采4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv067
tvbs欢乐4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv068
tvbs综艺4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live087
tvbs台剧4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live088
八大精彩4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv034
八大综艺4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv039
三立综合4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live207
爱达娱乐4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv070
靖洋戏剧4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv045
靖洋卡通4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv057
靖天卡通4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv044
靖天综合4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv046
靖天日本4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv047
靖天欢乐4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv054
靖天映画4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv055
靖天戏剧4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv058
靖天电影4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv061
靖天育乐4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv062
靖天国际4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv063
靖天资讯4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv065
龙华卡通4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=litv-longturn01
龙华日韩4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=litv-longturn11
龙华偶像4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=litv-longturn12
龙华电影4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=litv-longturn03
龙华洋片4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=litv-longturn02
龙华戏剧4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=litv-longturn18
龙华经典4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=litv-longturn21
国会频壹4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv084
国会频贰4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv085
好消息壹4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=litv-ftv16
好消息贰4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=litv-ftv17
大爱壹高4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live007
大爱贰高4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live106
人间卫视4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live008
原住民族4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live014
唐人亚太4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live050
智林体育4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv101
博斯魅力4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=litv-longturn04
博斯网球4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=litv-longturn09
博高球壹4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=litv-longturn05
博高球贰4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=litv-longturn06
博运动壹4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=litv-longturn07
博运动贰4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=litv-longturn08
博无限壹4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=litv-longturn10
博无限贰4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=litv-longturn13
阿里郎台4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv079
滚动人生4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live012
达文西台4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv018
猪哥亮厅4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv006
亚洲旅游4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv076
ELta旅游4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live120
美国之音4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=litv-ftv03
半岛新闻4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=litv-ftv10
非凡商业4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv048
第壹商业4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv109
影迷纪实4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=litv-ftv15
经典电影4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live021
经典卡通4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live022
精选动漫4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live024
戏剧壹台4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live010
古典音乐4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv059
客家电视4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv043
华仁纪实4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv013
时尚运动4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv014
空间居家4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live206
生活英语4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=litv-longturn20
互动英语4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live030
采昌影剧4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv049
数位电影4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv011
欧洲电影4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live157
Amc电影4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv017
CINEMA-4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live069
TRA体育4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv077
车迷体育4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live201
SMArt台4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=litv-longturn19
罪案侦查4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live027
霹雳布袋4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live145
金光布袋4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live144
nick动漫4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live032
nick少儿4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live105
MO-亲子4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live107
DreamW4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live017
LUXE-TV4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live121
rock娱乐4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live080
rock电影4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live138
HItS电影4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live620
magellan4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live123
INULTRa4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live096
LifeTime4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live029
电影原声4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live031
MTVLive4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live025
PETClUB4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live110
FUN娱乐4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live011
韩国娱乐4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv016
GLOBAL4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live112
TV5mon4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live122
TRACEU4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv082
BLoomb4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live059
FRANCE4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live146
MEZZOl4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv083
GINX_TV4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv053
DW-之声4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live071
历史频道4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live026
国家地理4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live208
东森购壹4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live047
东森购壹4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv102
东森购壹4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv102
东森购贰4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live046
东森购贰4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv103
东森购贰4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-4gtv103
东森购叁4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live048
东森购五4Gtv,https://iptvcdn.pendy.dpdns.org/judy.php?id=4gtv-live049
特区频推,#genre# 
广东珠江频推,http://push-rtmp-hs-spe-f5.douyincdn.com/live/96a6703f0ad8736352c2be0e6f5630fb.flv
广东体育频推,http://push-rtmp-hs-spe-f5.douyincdn.com/live/5f8b6c18643188e8a1ae8aab6811c7b9.flv
Plus综合频推,http://api.mg.itv888.cn:8080/hls/c18815664e8/index.m3u8
凤凰中文频推,http://api.mg.itv888.cn:8080/hls/2f80047f91e/index.m3u8
凤凰资讯频推,http://api.mg.itv888.cn:8080/hls/11ef1dc70d8/index.m3u8
凤凰香港频推,http://api.mg.itv888.cn:8080/hls/e9660dce9a6/index.m3u8
有线新闻频推,http://api.mg.itv888.cn:8080/hls/5e12ccd9191/index.m3u8
无线新闻频推,http://push-rtmp-hs-spe-f5.douyincdn.com/live/8909061706b522e5620dbfe2b5f7d33e.flv
无线新闻频推,http://api.mg.itv888.cn:8080/hls/e1bb5e8bc4f/index.m3u8
无线翡翠频推,http://push-rtmp-hs-spe-f5.douyincdn.com/live/76a5bea61a9b95235ecc8e10efa23a1f.flv
无线翡翠频推,http://api.mg.itv888.cn:8080/hls/4bb8922027c/index.m3u8
无线华丽频推,http://push-rtmp-hs-spe-f5.douyincdn.com/live/afef8d032299c6cae821da210c3f0975.flv
无线华丽频推,http://api.mg.itv888.cn:8080/hls/ac8b06eb0c8/index.m3u8
无线明珠频推,http://push-rtmp-hs-spe-f5.douyincdn.com/live/c5220acf319f65ba0161a8d82760ed1d.flv
无线明珠频推,http://api.mg.itv888.cn:8080/hls/63e9ea6e5df/index.m3u8
无线功夫频推,http://push-rtmp-hs-spe-f5.douyincdn.com/live/bdb59ec9d515cdad77fe2ed50899adac.flv
无线_1美频推,http://push-rtmp-hs-spe-f5.douyincdn.com/live/c55985eebf76a91b12f259549118ed86.flv
有线综合频推,http://push-rtmp-hs-spe-f5.douyincdn.com/live/39ecfe1253b307af2e93faa1cd0ae56b.flv
Astroaod频推,http://push-rtmp-hs-spe-f5.douyincdn.com/live/fe563af50ab5d0fa39513daf2e25e8e9.flv
VIUTV'粤频推,http://push-rtmp-hs-spe-f5.douyincdn.com/live/365d15bad7d95fba0ca015fccc1bb588.flv
VIUTV'粤频推,http://api.mg.itv888.cn:8080/hls/13d52dc29d5/index.m3u8
VIUTV'英频推,http://api.mg.itv888.cn:8080/hls/0408f039a12/index.m3u8
RTHK-31频推,http://api.mg.itv888.cn:8080/hls/7f79a251429/index.m3u8
RTHK-32频推,http://api.mg.itv888.cn:8080/hls/18c550eab1e/index.m3u8
八度空间频推,https://edge.163189.xyz/163189/8tv
新加CHU频推,https://edge.163189.xyz/163189/chu
新加CH5频推,https://edge.163189.xyz/163189/ch5
新加CH8频推,https://edge.163189.xyz/163189/ch8
特闽频推,#genre#
广东珠江频推,http://api.mytv666.top/api/hk.php?id=6162313131666165376133396363636237633834663162366130663635663031267469643d74762669643d39
广东体育频推,http://api.mytv666.top/api/hk.php?id=3635306561306164626438636438373731346432656366353839663866326232267469643d74762669643d3131
Plus综合频推,http://api.mytv666.top/api/hk.php?id=3639643231333366353439326662633736356531346434363133643465663039267469643d74762669643d3236
凤凰中文频推,http://api.mytv666.top/api/hk.php?id=3635353536383939393264346132646363626433646461373332353365633339267469643d74762669643d3230
凤凰资讯频推,http://api.mytv666.top/api/hk.php?id=3639313932626236616366636537633734323039313738383137613037633739267469643d74762669643d3231
凤凰香港频推,http://api.mytv666.top/api/hk.php?id=6366393933363838303835353235313030313837656130343336356238356364267469643d74762669643d3232
中天新闻频推,http://api.mytv666.top/api/hk.php?id=3432626438356234306332353339386439363836663664633634323164393061267469643d74762669643d3939
有线新闻频推,http://api.mytv666.top/api/hk.php?id=3036613663316638306536306134313638356161316134316465636662356435267469643d74762669643d3432
有线新闻频推,http://api.mytv666.top/api/hk.php?id=3432323435666131343964353936633530396335663430623762353532623439267469643d74762669643d3239
无线新闻频推,http://api.mytv666.top/api/hk.php?id=3437643561316430306564303532666566613235653961373961303464386662267469643d74762669643d3235
now新闻频推,http://api.mytv666.top/api/hk.php?id=3861666539393633313665393630366237386632616666343339393737373837267469643d74762669643d3336
无线翡翠频推,http://api.mytv666.top/api/hk.php?id=6133373062306330636436323766386638333930633734343164306361626637267469643d74762669643d3234
无线明珠频推,http://api.mytv666.top/api/hk.php?id=3234333631636531363838373231366566333832376434366264306332626165267469643d74762669643d3237
有线综合频推,http://api.mytv666.top/api/hk.php?id=3861653835393966663939393434646663323366326630316438316232623939267469643d74762669643d3433
有线赛讯频推,http://api.mytv666.top/api/hk.php?id=6566353737646133643130376364373766366364666231333932636266353434267469643d74762669643d3431
有线赛马频推,http://api.mytv666.top/api/hk.php?id=6636336261313634393131303637346636346234653561343663393636303161267469643d74762669643d3330
有线赛马频推,http://api.mytv666.top/api/hk.php?id=6264643730343538616264326436373663363934306134373364383935363064267469643d74762669643d3331
now直播频推,http://api.mytv666.top/api/hk.php?id=6636373032643161656535316162363136663334353964363265613064346462267469643d74762669643d3335
