影视轮播,#genre#
电影_不挤影院,http://iptv.jxpan.vip:18888/aio/huya/11352897
电影_国产悬疑,http://iptv.jxpan.vip:18888/aio/huya/11342395
电影_快意江湖,http://iptv.jxpan.vip:18888/aio/huya/11342435
电影_黑帮斗争,http://iptv.jxpan.vip:18888/aio/huya/11342419
电影_古墓系列,http://iptv.jxpan.vip:18888/aio/huya/11352913
电影_嫣然影厅,http://iptv.jxpan.vip:18888/aio/huya/11601977
电影_女神系列,http://iptv.jxpan.vip:18888/aio/huya/11336571
电影_经典女神,http://iptv.jxpan.vip:18888/aio/huya/11352909
电影_许氏三杰,http://iptv.jxpan.vip:18888/aio/huya/11602033
电影_经典港片,http://iptv.jxpan.vip:18888/aio/huya/11352965
电影_镖行天下,http://iptv.jxpan.vip:18888/aio/huya/11352969
电影_高能反转,http://iptv.jxpan.vip:18888/aio/huya/11352887
电影_喜乐影院,http://iptv.jxpan.vip:18888/aio/huya/21059580
电影_蘑菇影厅,http://iptv.jxpan.vip:18888/aio/huya/11601981
电影_搞笑恐怖,http://iptv.jxpan.vip:18888/aio/huya/11601960
电影_死神来了,http://iptv.jxpan.vip:18888/aio/huya/11352903
电影_变形金刚,http://iptv.jxpan.vip:18888/aio/huya/21059596
电影_怪兽系列,http://iptv.jxpan.vip:18888/aio/huya/21059554
搞笑_陈翔六点半,http://iptv.jxpan.vip:18888/aio/huya/11274154


电影_星爷,http://aiony.top:35455/huya/11342412
电影_英叔,http://aiony.top:35455/huya/11342421
电影_发哥,http://aiony.top:35455/huya/11342387
电影_成龙,http://aiony.top:35455/huya/11342386
电影_王晶,http://aiony.top:35455/huya/11602058
电影_沈腾,http://aiony.top:35455/huya/11601968
电影_黄渤,http://aiony.top:35455/huya/11352876
电影_强森,http://aiony.top:35455/huya/21059581
电影_漫威,http://aiony.top:35455/huya/11602034
电影_宇宙,http://aiony.top:35455/huya/11342428
电影_怪兽,http://aiony.top:35455/huya/21059577
电影_武侠,http://aiony.top:35455/huya/11342427
电影_警匪,http://aiony.top:35455/huya/11352886
电影_罪犯,http://aiony.top:35455/huya/11352962
电影_枪战,http://aiony.top:35455/huya/21059579
电影_海盗,http://aiony.top:35455/huya/21059595
电影_赛车,http://aiony.top:35455/huya/11279247
电影_推荐,http://aiony.top:35455/huya/11602041
电影_救援,http://aiony.top:35455/huya/21059594
电影_热血,http://aiony.top:35455/huya/11352934
电影_盗墓,http://aiony.top:35455/huya/21059552
电影_贺岁,http://aiony.top:35455/huya/11601971
电影_玄幻,http://aiony.top:35455/huya/11342414
电影_谍战,http://aiony.top:35455/huya/21059585
电影_战争,http://aiony.top:35455/huya/21059592
电影_喜剧,http://aiony.top:35455/huya/11352877
电影_港片,http://aiony.top:35455/huya/11602043
电影_国产,http://aiony.top:35455/huya/11352973
电影_周星星,http://aiony.top:35455/huya/11336587
电影_李连杰,http://aiony.top:35455/huya/11342390
电影_洪金宝,http://aiony.top:35455/huya/11279251
电影_梁家辉,http://aiony.top:35455/huya/11342429
电影_许冠英,http://aiony.top:35455/huya/11601972
电影_刘德华,http://aiony.top:35455/huya/11342424
电影_斯坦森,http://aiony.top:35455/huya/21059588
电影_小鬼头,http://aiony.top:35455/huya/11352963
电影_八点档,http://aiony.top:35455/huya/880261
电影_蜘蛛侠,http://aiony.top:35455/huya/21059599
电影_贺岁片,http://aiony.top:35455/huya/11601986
电影_功夫片,http://aiony.top:35455/huya/11352941
电影_黑帮片,http://aiony.top:35455/huya/11336719
电影_丧尸片,http://aiony.top:35455/huya/21059578
电影_灾难片,http://aiony.top:35455/huya/11602075
电影_谍战片,http://aiony.top:35455/huya/21059587
电影_战争片,http://aiony.top:35455/huya/21059574
电影_犯罪片,http://aiony.top:35455/huya/11352974
电影_古装片,http://aiony.top:35455/huya/11336590
电影_高分动作,http://aiony.top:35455/huya/11352884
电影_动作电影,http://aiony.top:35455/huya/11602077
电影_搞笑喜剧,http://aiony.top:35455/huya/11342423
电影_喜剧专场,http://aiony.top:35455/huya/11602044
电影_欢笑影院,http://aiony.top:35455/huya/11352894
电影_不挤影院,http://aiony.top:35455/huya/11352897
电影_国产悬疑,http://aiony.top:35455/huya/11342395
电影_快意江湖,http://aiony.top:35455/huya/11342435
电影_黑帮斗争,http://aiony.top:35455/huya/11342419
电影_古墓系列,http://aiony.top:35455/huya/11352913
电影_嫣然影厅,http://aiony.top:35455/huya/11601977
电影_女神系列,http://aiony.top:35455/huya/11336571
电影_经典女神,http://aiony.top:35455/huya/11352909
电影_许氏三杰,http://aiony.top:35455/huya/11602033
电影_经典港片,http://aiony.top:35455/huya/11352965
电影_镖行天下,http://aiony.top:35455/huya/11352969
电影_高能反转,http://aiony.top:35455/huya/11352887
电影_喜乐影院,http://aiony.top:35455/huya/21059580
电影_蘑菇影厅,http://aiony.top:35455/huya/11601981
电影_搞笑恐怖,http://aiony.top:35455/huya/11601960
电影_死神来了,http://aiony.top:35455/huya/11352903
电影_变形金刚,http://aiony.top:35455/huya/21059596
电影_怪兽系列,http://aiony.top:35455/huya/21059554
搞笑_陈翔六点半,http://aiony.top:35455/huya/11274154
猫和老鼠,http://aiony.top:35455/huya/11352879
爱情公寓,http://aiony.top:35455/huya/11336726
四驱兄弟,http://aiony.top:35455/huya/11352922
蜡笔小新,http://aiony.top:35455/huya/11352970
纪晓岚,http://aiony.top:35455/huya/11342396



电影_星爷,https://live.metshop.top/huya/11342412
电影_英叔,https://live.metshop.top/huya/11342421
电影_发哥,https://live.metshop.top/huya/11342387
电影_成龙,https://live.metshop.top/huya/11342386
电影_王晶,https://live.metshop.top/huya/11602058
电影_沈腾,https://live.metshop.top/huya/11601968
电影_黄渤,https://live.metshop.top/huya/11352876
电影_强森,https://live.metshop.top/huya/21059581
电影_漫威,https://live.metshop.top/huya/11602034
电影_宇宙,https://live.metshop.top/huya/11342428
电影_怪兽,https://live.metshop.top/huya/21059577
电影_武侠,https://live.metshop.top/huya/11342427
电影_警匪,https://live.metshop.top/huya/11352886
电影_罪犯,https://live.metshop.top/huya/11352962
电影_枪战,https://live.metshop.top/huya/21059579
电影_海盗,https://live.metshop.top/huya/21059595
电影_赛车,https://live.metshop.top/huya/11279247
电影_推荐,https://live.metshop.top/huya/11602041
电影_救援,https://live.metshop.top/huya/21059594
电影_热血,https://live.metshop.top/huya/11352934
电影_盗墓,https://live.metshop.top/huya/21059552
电影_贺岁,https://live.metshop.top/huya/11601971
电影_玄幻,https://live.metshop.top/huya/11342414
电影_谍战,https://live.metshop.top/huya/21059585
电影_战争,https://live.metshop.top/huya/21059592
电影_喜剧,https://live.metshop.top/huya/11352877
电影_港片,https://live.metshop.top/huya/11602043
电影_国产,https://live.metshop.top/huya/11352973
电影_周星星,https://live.metshop.top/huya/11336587
电影_李连杰,https://live.metshop.top/huya/11342390
电影_洪金宝,https://live.metshop.top/huya/11279251
电影_梁家辉,https://live.metshop.top/huya/11342429
电影_许冠英,https://live.metshop.top/huya/11601972
电影_刘德华,https://live.metshop.top/huya/11342424
电影_斯坦森,https://live.metshop.top/huya/21059588
电影_小鬼头,https://live.metshop.top/huya/11352963
电影_八点档,https://live.metshop.top/huya/880261
电影_蜘蛛侠,https://live.metshop.top/huya/21059599
电影_贺岁片,https://live.metshop.top/huya/11601986
电影_功夫片,https://live.metshop.top/huya/11352941
电影_黑帮片,https://live.metshop.top/huya/11336719
电影_丧尸片,https://live.metshop.top/huya/21059578
电影_灾难片,https://live.metshop.top/huya/11602075
电影_谍战片,https://live.metshop.top/huya/21059587
电影_战争片,https://live.metshop.top/huya/21059574
电影_犯罪片,https://live.metshop.top/huya/11352974
电影_古装片,https://live.metshop.top/huya/11336590
电影_高分动作,https://live.metshop.top/huya/11352884
电影_动作电影,https://live.metshop.top/huya/11602077
电影_搞笑喜剧,https://live.metshop.top/huya/11342423
电影_喜剧专场,https://live.metshop.top/huya/11602044
电影_欢笑影院,https://live.metshop.top/huya/11352894
电影_不挤影院,https://live.metshop.top/huya/11352897
电影_国产悬疑,https://live.metshop.top/huya/11342395
电影_快意江湖,https://live.metshop.top/huya/11342435
电影_黑帮斗争,https://live.metshop.top/huya/11342419
电影_古墓系列,https://live.metshop.top/huya/11352913
电影_嫣然影厅,https://live.metshop.top/huya/11601977
电影_女神系列,https://live.metshop.top/huya/11336571
电影_经典女神,https://live.metshop.top/huya/11352909
电影_许氏三杰,https://live.metshop.top/huya/11602033
电影_经典港片,https://live.metshop.top/huya/11352965
电影_镖行天下,https://live.metshop.top/huya/11352969
电影_高能反转,https://live.metshop.top/huya/11352887
电影_喜乐影院,https://live.metshop.top/huya/21059580
电影_蘑菇影厅,https://live.metshop.top/huya/11601981
电影_搞笑恐怖,https://live.metshop.top/huya/11601960
电影_死神来了,https://live.metshop.top/huya/11352903
电影_变形金刚,https://live.metshop.top/huya/21059596
电影_怪兽系列,https://live.metshop.top/huya/21059554
搞笑_陈翔六点半,https://live.metshop.top/huya/11274154


浙江频道,#genre#
浙江公共新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科影视,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生休闲,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经视,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江都市,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
